entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,
taxes,0.5547,0.7630,0.7484,0.6005,0.8050,0.6439,0.7625,0.6678,0.7251,0.6167,0.6611,0.6018,0.5110,0.6053,0.9359,
jobs,0.9252,0.7673,0.7067,0.7885,0.8596,0.9617,0.9574,1.0000,0.9795,0.8098,0.9374,0.9469,0.9326,0.8827,0.9321,
mexico,0.2275,0.2348,0.2172,0.1997,0.2106,0.2461,0.2706,0.1901,0.1844,0.1758,0.2034,0.1883,0.2049,0.2176,0.2256,
Prison,0.1082,0.0931,0.0915,0.1005,0.1140,0.1332,0.1320,0.1562,0.1694,0.1667,0.1813,0.1745,0.2050,0.2091,0.2129,
war,0.4218,0.3598,0.3136,0.2620,0.2241,0.2566,0.2137,0.1961,0.1876,0.1869,0.1666,0.2058,0.1762,0.2043,0.1911,
energy,0.1147,0.1135,0.1273,0.1373,0.1388,0.1627,0.1531,0.1413,0.1343,0.1339,0.1346,0.1413,0.1412,0.1470,0.1498,
drugs,0.1387,0.1344,0.1132,0.1243,0.1115,0.1162,0.1104,0.1436,0.1181,0.1198,0.1274,0.1345,0.1407,0.1342,0.1382,
immigration,0.0933,0.0834,0.0753,0.0890,0.0745,0.0604,0.0581,0.0556,0.0493,0.0688,0.0721,0.0576,0.0545,0.1003,0.1158,
military,0.1387,0.1131,0.1178,0.1267,0.1137,0.1196,0.1196,0.1194,0.1121,0.1124,0.1037,0.1056,0.1100,0.1102,0.1093,
china,0.1951,0.1663,0.1679,0.1451,0.1437,0.1413,0.1317,0.1316,0.1102,0.1024,0.1043,0.1114,0.1097,0.1088,0.1083,
trade,0.1199,0.0975,0.0964,0.0934,0.1030,0.0990,0.1014,0.0915,0.0834,0.0839,0.0811,0.0921,0.0841,0.0905,0.0937,
MS-13,0.0000,0.0000,0.0124,0.0046,0.0024,0.0019,0.0016,0.0011,0.0010,0.0014,0.0010,0.0014,0.0015,0.0016,0.0906,
unemployment,0.0752,0.0488,0.0540,0.0610,0.0727,0.1718,0.1586,0.1619,0.1678,0.0992,0.1691,0.0967,0.0816,0.0654,0.0849,
russia,0.1037,0.0927,0.0912,0.0743,0.0598,0.0632,0.0577,0.0700,0.0560,0.0536,0.0700,0.0717,0.0667,0.0820,0.0840,
Wages,0.0441,0.0408,0.0424,0.0580,0.0426,0.0457,0.0397,0.0447,0.0489,0.1521,0.1493,0.0760,0.0643,0.0585,0.0712,
Stock Market,0.0240,0.0293,0.0263,0.0209,0.0334,0.0500,0.0230,0.0250,0.0199,0.0210,0.0276,0.0241,0.0548,0.0299,0.0678,
north korea,0.0071,0.0093,0.0098,0.0061,0.0046,0.0080,0.0063,0.0079,0.0062,0.0472,0.0134,0.0125,0.0190,0.0176,0.0621,
puerto rico,0.0525,0.0683,0.0768,0.0639,0.0622,0.0690,0.0746,0.0616,0.0674,0.0629,0.0676,0.0696,0.0656,0.0592,0.0597,
economy,0.0868,0.0674,0.0615,0.0519,0.0922,0.0992,0.0627,0.0518,0.0527,0.0542,0.0466,0.0591,0.0578,0.0557,0.0592,
Manufacturing,0.1685,0.1379,0.1062,0.0892,0.0877,0.0819,0.0749,0.0648,0.0619,0.0555,0.0539,0.0525,0.0549,0.0559,0.0551,
Veteran Affairs,0.0337,0.0253,0.0312,0.0299,0.0338,0.0342,0.0411,0.0408,0.0458,0.0373,0.0386,0.0428,0.0383,0.0417,0.0447,
Israel,0.0570,0.0567,0.0635,0.0458,0.0464,0.0469,0.0415,0.0346,0.0349,0.0329,0.0317,0.0427,0.0345,0.0343,0.0387,
Veterans,0.0356,0.0213,0.0271,0.0287,0.0252,0.0310,0.0283,0.0304,0.0295,0.0293,0.0301,0.0383,0.0334,0.0363,0.0379,
cuba,0.0441,0.0399,0.0366,0.0268,0.0249,0.0292,0.0260,0.0255,0.0262,0.0261,0.0257,0.0587,0.0363,0.0433,0.0367,
Border,0.0324,0.0381,0.0355,0.0335,0.0337,0.0338,0.0296,0.0274,0.0242,0.0247,0.0246,0.0281,0.0244,0.0334,0.0329,
hurricane,0.0149,0.0337,0.0580,0.0348,0.0251,0.0310,0.0214,0.0227,0.0194,0.0287,0.0215,0.0193,0.0198,0.0226,0.0319,
Guantanamo Bay,0.0000,0.0062,0.0038,0.0027,0.0030,0.0074,0.0042,0.0022,0.0018,0.0016,0.0067,0.0210,0.0076,0.0012,0.0260,
opioids,0.0000,0.0027,0.0023,0.0023,0.0024,0.0042,0.0037,0.0031,0.0039,0.0035,0.0044,0.0045,0.0060,0.0115,0.0253,
